Repetition,Algorithm,Scenario,NumDevices,VariableParameter,ParameterValue,PayloadSize,PacketInterval,MobilityPercentage,SpreadingFactor,SimulationDuration,MobilitySpeed,TotalPackets,Succeed,Lost,Success_Rate,PDR,EnergyEfficiency,AverageToA,AverageSNR,AverageRSSI,TotalEnergyConsumption
1,D-LoRa,S1_Density,100,NumDevices,100,50,5,0,7,9000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,100,NumDevices,100,50,5,0,7,9000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,100,NumDevices,100,50,5,50,7,9000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,100,NumDevices,100,50,5,50,7,9000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,100,NumDevices,100,50,40,0,7,72000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,100,NumDevices,100,50,40,0,7,72000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,100,NumDevices,100,50,40,50,7,72000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,100,NumDevices,100,50,40,50,7,72000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,200,NumDevices,200,50,5,0,7,9000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,200,NumDevices,200,50,5,0,7,9000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,200,NumDevices,200,50,5,50,7,9000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,200,NumDevices,200,50,5,50,7,9000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,200,NumDevices,200,50,40,0,7,72000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,200,NumDevices,200,50,40,0,7,72000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,200,NumDevices,200,50,40,50,7,72000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,200,NumDevices,200,50,40,50,7,72000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,300,NumDevices,300,50,5,0,7,9000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,300,NumDevices,300,50,5,0,7,9000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,300,NumDevices,300,50,5,50,7,9000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,300,NumDevices,300,50,5,50,7,9000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,300,NumDevices,300,50,40,0,7,72000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,300,NumDevices,300,50,40,0,7,72000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,300,NumDevices,300,50,40,50,7,72000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,300,NumDevices,300,50,40,50,7,72000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,400,NumDevices,400,50,5,0,7,9000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,400,NumDevices,400,50,5,0,7,9000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,400,NumDevices,400,50,5,50,7,9000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,400,NumDevices,400,50,5,50,7,9000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,400,NumDevices,400,50,40,0,7,72000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,400,NumDevices,400,50,40,0,7,72000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,400,NumDevices,400,50,40,50,7,72000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,400,NumDevices,400,50,40,50,7,72000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,500,NumDevices,500,50,5,0,7,9000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,500,NumDevices,500,50,5,0,7,9000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,500,NumDevices,500,50,5,50,7,9000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,500,NumDevices,500,50,5,50,7,9000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,500,NumDevices,500,50,40,0,7,72000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,500,NumDevices,500,50,40,0,7,72000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,500,NumDevices,500,50,40,50,7,72000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,500,NumDevices,500,50,40,50,7,72000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,600,NumDevices,600,50,5,0,7,9000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,600,NumDevices,600,50,5,0,7,9000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,600,NumDevices,600,50,5,50,7,9000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,600,NumDevices,600,50,5,50,7,9000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,600,NumDevices,600,50,40,0,7,72000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,600,NumDevices,600,50,40,0,7,72000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,600,NumDevices,600,50,40,50,7,72000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,600,NumDevices,600,50,40,50,7,72000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,700,NumDevices,700,50,5,0,7,9000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,700,NumDevices,700,50,5,0,7,9000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,700,NumDevices,700,50,5,50,7,9000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,700,NumDevices,700,50,5,50,7,9000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,700,NumDevices,700,50,40,0,7,72000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,700,NumDevices,700,50,40,0,7,72000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,700,NumDevices,700,50,40,50,7,72000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,700,NumDevices,700,50,40,50,7,72000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,800,NumDevices,800,50,5,0,7,9000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,800,NumDevices,800,50,5,0,7,9000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,800,NumDevices,800,50,5,50,7,9000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,800,NumDevices,800,50,5,50,7,9000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,800,NumDevices,800,50,40,0,7,72000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,800,NumDevices,800,50,40,0,7,72000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,800,NumDevices,800,50,40,50,7,72000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,800,NumDevices,800,50,40,50,7,72000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,900,NumDevices,900,50,5,0,7,9000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D-LoRa,S1_Density,900,NumDevices,900,50,5,0,7,9000.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
