Repetition,Algorithm,Scenario,NumDevices,VariableParameter,ParameterValue,PayloadSize,PacketInterval,MobilityPercentage,SpreadingFactor,SimulationDuration,MobilitySpeed,TotalPackets,Succeed,Lost,Success_Rate,PDR,EnergyEfficiency,AverageToA,AverageSNR,AverageRSSI,TotalEnergyConsumption
1,D-LoRa,S1_Density,100,NumDevices,100,20,5,0,0,1500.0,0,3302,2377,925,71.9867,71.99,44.4,322.7,-2.0,-116.32,8565.22
1,D-LoRa,S1_Density,100,NumDevices,100,20,5,0,0,1500.0,30,3302,2377,925,71.9867,71.99,44.4,322.7,-2.0,-116.32,8565.22
1,D-LoRa,S1_Density,100,NumDevices,100,20,5,50,0,1500.0,0,10553,7036,3517,66.673,66.67,53.06,482.73,-1.06,-116.16,21217.9
1,D-LoRa,S1_Density,100,NumDevices,100,20,5,50,0,1500.0,30,10553,7036,3517,66.673,66.67,53.06,482.73,-1.06,-116.16,21217.9
1,D-LoRa,S1_Density,100,NumDevices,100,20,40,0,0,12000.0,0,3303,2396,907,72.5401,72.54,44.94,330.27,-1.87,-116.26,8529.66
1,D-LoRa,S1_Density,100,NumDevices,100,20,40,0,0,12000.0,30,3303,2396,907,72.5401,72.54,44.94,330.27,-1.87,-116.26,8529.66
1,D-LoRa,S1_Density,100,NumDevices,100,20,40,50,0,12000.0,0,10558,6734,3824,63.781,63.78,42.37,571.25,-4.84,-119.83,25426.37
1,D-LoRa,S1_Density,100,NumDevices,100,20,40,50,0,12000.0,30,10558,6734,3824,63.781,63.78,42.37,571.25,-4.84,-119.83,25426.37
1,D-LoRa,S1_Density,200,NumDevices,200,20,5,0,0,1500.0,0,5520,3668,1852,66.4493,66.45,41.29,334.12,-1.8,-116.2,14213.6
1,D-LoRa,S1_Density,200,NumDevices,200,20,5,0,0,1500.0,30,5520,3668,1852,66.4493,66.45,41.29,334.12,-1.8,-116.2,14213.6
1,D-LoRa,S1_Density,200,NumDevices,200,20,5,50,0,1500.0,0,10468,6508,3960,62.1704,62.17,35.69,458.37,-4.1,-119.02,29172.03
1,D-LoRa,S1_Density,200,NumDevices,200,20,5,50,0,1500.0,30,10468,6508,3960,62.1704,62.17,35.69,458.37,-4.1,-119.02,29172.03
1,D-LoRa,S1_Density,200,NumDevices,200,20,40,0,0,12000.0,0,5522,3663,1859,66.3347,66.33,42.01,317.12,-1.62,-116.08,13951.88
1,D-LoRa,S1_Density,200,NumDevices,200,20,40,0,0,12000.0,30,5522,3663,1859,66.3347,66.33,42.01,317.12,-1.62,-116.08,13951.88
1,D-LoRa,S1_Density,200,NumDevices,200,20,40,50,0,12000.0,0,10474,6467,4007,61.7434,61.74,35.21,435.07,-4.12,-118.98,29383.01
1,D-LoRa,S1_Density,200,NumDevices,200,20,40,50,0,12000.0,30,10474,6467,4007,61.7434,61.74,35.21,435.07,-4.12,-118.98,29383.01
1,D-LoRa,S1_Density,300,NumDevices,300,20,5,0,0,1500.0,0,20997,13017,7980,61.9946,61.99,39.1,566.86,-4.06,-119.32,53267.84
1,D-LoRa,S1_Density,300,NumDevices,300,20,5,0,0,1500.0,30,20997,13017,7980,61.9946,61.99,39.1,566.86,-4.06,-119.32,53267.84
1,D-LoRa,S1_Density,300,NumDevices,300,20,5,50,0,1500.0,0,14829,9205,5624,62.0743,62.07,40.24,365.5,-2.57,-117.31,36602.26
1,D-LoRa,S1_Density,300,NumDevices,300,20,5,50,0,1500.0,30,14829,9205,5624,62.0743,62.07,40.24,365.5,-2.57,-117.31,36602.26
1,D-LoRa,S1_Density,300,NumDevices,300,20,40,0,0,12000.0,0,21002,12922,8080,61.5275,61.53,38.21,503.88,-4.03,-119.14,54111.75
1,D-LoRa,S1_Density,300,NumDevices,300,20,40,0,0,12000.0,30,21002,12922,8080,61.5275,61.53,38.21,503.88,-4.03,-119.14,54111.75
1,D-LoRa,S1_Density,300,NumDevices,300,20,40,50,0,12000.0,0,14835,9110,5725,61.4088,61.41,39.19,384.59,-3.04,-117.55,37195.24
1,D-LoRa,S1_Density,300,NumDevices,300,20,40,50,0,12000.0,30,14835,9110,5725,61.4088,61.41,39.19,384.59,-3.04,-117.55,37195.24
1,D-LoRa,S1_Density,400,NumDevices,400,20,5,0,0,1500.0,0,24153,14804,9349,61.2926,61.29,38.54,505.0,-4.14,-119.09,61454.3
1,D-LoRa,S1_Density,400,NumDevices,400,20,5,0,0,1500.0,30,24153,14804,9349,61.2926,61.29,38.54,505.0,-4.14,-119.09,61454.3
