Scenario,Algorithm,Variable,Value,Mean,Std,CI_Low,CI_High,Margin
S1_Density,D-LoRa,NumDevices,100,0.0,0.0,0.0,0.0,0.0
S1_Density,D-LoRa,NumDevices,200,0.0,0.0,0.0,0.0,0.0
S1_Density,D-LoRa,NumDevices,300,0.0,0.0,0.0,0.0,0.0
S1_Density,D-LoRa,NumDevices,400,0.0,0.0,0.0,0.0,0.0
S1_Density,D-LoRa,NumDevices,500,0.0,0.0,0.0,0.0,0.0
S1_Density,D-LoRa,NumDevices,600,0.0,0.0,0.0,0.0,0.0
S1_Density,D-LoRa,NumDevices,700,0.0,0.0,0.0,0.0,0.0
S1_Density,D-LoRa,NumDevices,800,0.0,0.0,0.0,0.0,0.0
S1_Density,D-LoRa,NumDevices,900,0.0,0.0,0.0,0.0,0.0
S1_Density,D-LoRa,NumDevices,1000,0.0,0.0,0.0,0.0,0.0
S1_Density,DQoC-A,NumDevices,100,0.2973,0.0,0.2973,0.2973,0.0
S1_Density,DQoC-A,NumDevices,200,0.2973,0.0,0.2973,0.2973,0.0
S1_Density,DQoC-A,NumDevices,300,0.2973,0.0,0.2973,0.2973,0.0
S1_Density,DQoC-A,NumDevices,400,0.2973,0.0,0.2973,0.2973,0.0
S1_Density,DQoC-A,NumDevices,500,0.2973,0.0,0.2973,0.2973,0.0
S1_Density,DQoC-A,NumDevices,600,0.2973,0.0,0.2973,0.2973,0.0
S1_Density,DQoC-A,NumDevices,700,0.2973,0.0,0.2973,0.2973,0.0
S1_Density,DQoC-A,NumDevices,800,0.2973,0.0,0.2973,0.2973,0.0
S1_Density,DQoC-A,NumDevices,900,0.2973,0.0,0.2973,0.2973,0.0
S1_Density,DQoC-A,NumDevices,1000,0.2973,0.0,0.2973,0.2973,0.0
S1_Density,QoC-A,NumDevices,100,0.46699999999999997,6.206335383118183e-17,0.4669999999999999,0.467,7.706183205996028e-17
S1_Density,QoC-A,NumDevices,200,0.46699999999999997,6.206335383118183e-17,0.4669999999999999,0.467,7.706183205996028e-17
S1_Density,QoC-A,NumDevices,300,0.46699999999999997,6.206335383118183e-17,0.4669999999999999,0.467,7.706183205996028e-17
S1_Density,QoC-A,NumDevices,400,0.46699999999999997,6.206335383118183e-17,0.4669999999999999,0.467,7.706183205996028e-17
S1_Density,QoC-A,NumDevices,500,0.46699999999999997,6.206335383118183e-17,0.4669999999999999,0.467,7.706183205996028e-17
S1_Density,QoC-A,NumDevices,600,0.46699999999999997,6.206335383118183e-17,0.4669999999999999,0.467,7.706183205996028e-17
S1_Density,QoC-A,NumDevices,700,0.46699999999999997,6.206335383118183e-17,0.4669999999999999,0.467,7.706183205996028e-17
S1_Density,QoC-A,NumDevices,800,0.46699999999999997,6.206335383118183e-17,0.4669999999999999,0.467,7.706183205996028e-17
S1_Density,QoC-A,NumDevices,900,0.46699999999999997,6.206335383118183e-17,0.4669999999999999,0.467,7.706183205996028e-17
S1_Density,QoC-A,NumDevices,1000,0.46699999999999997,6.206335383118183e-17,0.4669999999999999,0.467,7.706183205996028e-17
S1_Density,ToW,NumDevices,100,0.0,0.0,0.0,0.0,0.0
S1_Density,ToW,NumDevices,200,0.0,0.0,0.0,0.0,0.0
S1_Density,ToW,NumDevices,300,0.0,0.0,0.0,0.0,0.0
S1_Density,ToW,NumDevices,400,0.0,0.0,0.0,0.0,0.0
S1_Density,ToW,NumDevices,500,0.0,0.0,0.0,0.0,0.0
S1_Density,ToW,NumDevices,600,0.0,0.0,0.0,0.0,0.0
S1_Density,ToW,NumDevices,700,0.0,0.0,0.0,0.0,0.0
S1_Density,ToW,NumDevices,800,0.0,0.0,0.0,0.0,0.0
S1_Density,ToW,NumDevices,900,0.0,0.0,0.0,0.0,0.0
S1_Density,ToW,NumDevices,1000,0.0,0.0,0.0,0.0,0.0
S1_Density,UCB1-Tuned,NumDevices,100,52.0286,0.0,52.0286,52.0286,0.0
S1_Density,UCB1-Tuned,NumDevices,200,52.0286,0.0,52.0286,52.0286,0.0
S1_Density,UCB1-Tuned,NumDevices,300,52.0286,0.0,52.0286,52.0286,0.0
S1_Density,UCB1-Tuned,NumDevices,400,52.0286,0.0,52.0286,52.0286,0.0
S1_Density,UCB1-Tuned,NumDevices,500,52.0286,0.0,52.0286,52.0286,0.0
S1_Density,UCB1-Tuned,NumDevices,600,52.0286,0.0,52.0286,52.0286,0.0
S1_Density,UCB1-Tuned,NumDevices,700,52.0286,0.0,52.0286,52.0286,0.0
S1_Density,UCB1-Tuned,NumDevices,800,52.0286,0.0,52.0286,52.0286,0.0
S1_Density,UCB1-Tuned,NumDevices,900,52.0286,0.0,52.0286,52.0286,0.0
S1_Density,UCB1-Tuned,NumDevices,1000,52.0286,0.0,52.0286,52.0286,0.0
S2_TrafficLoad,D-LoRa,PacketInterval,1,0.0,0.0,0.0,0.0,0.0
S2_TrafficLoad,D-LoRa,PacketInterval,7,0.0,0.0,0.0,0.0,0.0
S2_TrafficLoad,D-LoRa,PacketInterval,13,0.0,0.0,0.0,0.0,0.0
S2_TrafficLoad,D-LoRa,PacketInterval,19,0.0,0.0,0.0,0.0,0.0
S2_TrafficLoad,D-LoRa,PacketInterval,25,0.0,0.0,0.0,0.0,0.0
S2_TrafficLoad,D-LoRa,PacketInterval,31,0.0,0.0,0.0,0.0,0.0
S2_TrafficLoad,D-LoRa,PacketInterval,37,0.0,0.0,0.0,0.0,0.0
S2_TrafficLoad,D-LoRa,PacketInterval,43,0.0,0.0,0.0,0.0,0.0
S2_TrafficLoad,D-LoRa,PacketInterval,49,0.0,0.0,0.0,0.0,0.0
S2_TrafficLoad,D-LoRa,PacketInterval,55,0.0,0.0,0.0,0.0,0.0
S2_TrafficLoad,DQoC-A,PacketInterval,1,0.2973,0.0,0.2973,0.2973,0.0
S2_TrafficLoad,DQoC-A,PacketInterval,7,0.2973,0.0,0.2973,0.2973,0.0
S2_TrafficLoad,DQoC-A,PacketInterval,13,0.2973,0.0,0.2973,0.2973,0.0
S2_TrafficLoad,DQoC-A,PacketInterval,19,0.2973,0.0,0.2973,0.2973,0.0
S2_TrafficLoad,DQoC-A,PacketInterval,25,0.2973,0.0,0.2973,0.2973,0.0
S2_TrafficLoad,DQoC-A,PacketInterval,31,0.2973,0.0,0.2973,0.2973,0.0
